id,title,link,description,pubdate,location,timestamp
321205,Senior Brand Designer,https://dribbble.com/jobs/215201-Senior-Brand-Designer?source=index,OrangeSprocket  • Full-time   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:40.810375
364884,"Web/UI Design, Pre-IPO AI Data Platform",https://dribbble.com/jobs/214871-Web-UI-Design-Pre-IPO-AI-Data-Platform?source=index,VAST Data  • Full-time   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:40.922141
244877,Senior Product Designer,https://dribbble.com/jobs/183290-Senior-Product-Designer?source=index,Axion Ray  • Full-time   • Remote Friendly ,2023-06-05, London,2023-06-05 09:47:41.015036
407244,Astralus is looking for new team members,https://dribbble.com/jobs/215135-Astralus-is-looking-for-new-team-members?source=index,Astralus  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:41.118305
16606,UI Designer - Asset management web app,https://dribbble.com/jobs/215102-UI-Designer-Asset-management-web-app?source=index,Kiloma Advanced Solutions  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:41.204280
483851,"Brand Designer (Mascot, logo, font)",https://dribbble.com/jobs/214739-Brand-Designer-Mascot-logo-font?source=index,Aviagames Inc  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:41.302416
268792,Freelance Product Designer Remote Europe,https://dribbble.com/jobs/215036-Freelance-Product-Designer-Remote-Europe?source=index,Phenom People  • Freelance   • Remote Friendly ,2023-06-05, Europe,2023-06-05 09:47:41.366989
242304,Senior Designer,https://dribbble.com/jobs/204443-Senior-Designer?source=index,11:11 Music Group  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:41.408262
250892,UI/UX Designer,https://dribbble.com/jobs/215003-UI-UX-Designer?source=index,Motion Recruitment  • Full-time   • Remote Friendly ,2023-06-05," New York City, NY",2023-06-05 09:47:41.451466
62839,Product Designer,https://dribbble.com/jobs/214970-Product-Designer?source=index,Montra Interactive  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:41.497441
366749,Senior Product Designer - Fully Remote,https://dribbble.com/jobs/213386-Senior-Product-Designer-Fully-Remote?source=index,Shosho Design  • Freelance   • Remote Friendly ,2023-06-05," Amsterdam, Netherlands",2023-06-05 09:47:41.547373
229310,Senior Product Designer,https://dribbble.com/jobs/150455-Senior-Product-Designer?source=index,Skydio  • Full-time   • Remote Friendly ,2023-06-05," Redwood City, CA",2023-06-05 09:47:41.606578
170509,Product Designer,https://dribbble.com/jobs/172169-Product-Designer?source=index,Lifeforce Digital  • Full-time   • Remote Friendly ,2023-06-05, Los Angeles,2023-06-05 09:47:41.659544
490693,Freelance Designers,https://dribbble.com/jobs/212033-Freelance-Designers?source=index,sixwasnine studio  • Freelance   • Remote Friendly ,2023-06-05," San Diego, CA",2023-06-05 09:47:41.704646
367378,Senior Product Designer,https://dribbble.com/jobs/212000-Senior-Product-Designer?source=index,Alto  • Full-time   • Remote Friendly ,2023-06-05," Nashville, TN",2023-06-05 09:47:41.756575
50585,UX Designer - Remote Contract Role,https://dribbble.com/jobs/204476-UX-Designer-Remote-Contract-Role?source=index,Open Systems Technologies  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:41.808833
62557,Head of Digital Design &amp; UX,https://dribbble.com/jobs/201638-Head-of-Digital-Design-UX?source=index,Product Marketing Alliance  • Full-time   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:41.876625
379786,Founding Product Designer,https://dribbble.com/jobs/214838-Founding-Product-Designer?source=index,Kinn  • Full-time   • Remote Friendly ,2023-06-05," New York City, NY",2023-06-05 09:47:41.923671
437312,Product Designer,https://dribbble.com/jobs/183026-Product-Designer?source=index,Hiro Systems  • Full-time   • Remote Friendly ,2023-06-05, United States,2023-06-05 09:47:41.967704
134163,Web Designer,https://dribbble.com/jobs/201605-Web-Designer?source=index,The Remote Company  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.014343
74762,Groundbreaking UX/UI needed,https://dribbble.com/jobs/206588-Groundbreaking-UX-UI-needed?source=index,Nexus Auto Transport  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.057195
402556,Product Designer,https://dribbble.com/jobs/204212-Product-Designer?source=index,Networx Systems Inc  • Full-time   • Remote Friendly ,2023-06-05," New York City, NY",2023-06-05 09:47:42.104278
232072,A Designer Thats Work Shows They Care,https://dribbble.com/jobs/204113-A-Designer-Thats-Work-Shows-They-Care?source=index,Air  • Full-time   • Remote Friendly ,2023-06-05," San Francisco, CA",2023-06-05 09:47:42.150931
404021,Brand Designer,https://dribbble.com/jobs/140720-Brand-Designer?source=index,Airhouse  • Full-time   • Remote Friendly ,2023-06-05, United States,2023-06-05 09:47:42.193492
54851,Product Designer,https://dribbble.com/jobs/195071-Product-Designer?source=index,Expensify  • Full-time   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.260959
442693,Contract UI Designer (startup),https://dribbble.com/jobs/214772-Contract-UI-Designer-startup?source=index,Fay  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.307874
312118,Senior Digital Designer,https://dribbble.com/jobs/214706-Senior-Digital-Designer?source=index,Niftic  • Full-time   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.351357
95081,Product Designer,https://dribbble.com/jobs/171839-Product-Designer?source=index,Ness  • Full-time   • Remote Friendly ,2023-06-05, Anywhere,2023-06-05 09:47:42.393929
89042,UX / UI designer,https://dribbble.com/jobs/214640-UX-UI-designer?source=index,Ubiquiti  • Full-time   • Remote Friendly ,2023-06-05," Stockholm, Sweden",2023-06-05 09:47:42.437907
476948,Visual Designer,https://dribbble.com/jobs/101516-Visual-Designer?source=index,Alchemy  • Full-time   • Remote Friendly ,2023-06-05," US time zone, PST time preferred",2023-06-05 09:47:42.478533
214214,Web Designer,https://dribbble.com/jobs/214607-Web-Designer?source=index,Amply  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.522465
160454,Senior Product Designer,https://dribbble.com/jobs/214508-Senior-Product-Designer?source=index,Pigui  • Full-time   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.567435
36404,Product Designer,https://dribbble.com/jobs/214475-Product-Designer?source=index,Silk + Sonder  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.608455
482647,Web Designer,https://dribbble.com/jobs/211704-Web-Designer?source=index,Burrow Data  • Freelance   • Remote Friendly ,2023-06-05, Remote,2023-06-05 09:47:42.651758
