title,link,pubdate,location,description
Sr. Digital Marketing Account Manager,https://www.workingnomads.com/job/go/44010/,2023-03-21T09:45:09.541877-04:00,USA,"account manager,seo,lead generation,project management,advertising"
Product Marketing Manager,https://www.workingnomads.com/job/go/44009/,2023-03-21T09:41:33.604538-04:00,USA,"product marketing,product management,project management,salesforce"
"Account Executive, Enterprise Market",https://www.workingnomads.com/job/go/44006/,2023-03-21T07:58:22.090073-04:00,USA,"account manager,salesforce"
"Account Executive, Direct Sales Team",https://www.workingnomads.com/job/go/44005/,2023-03-21T07:57:18.646750-04:00,USA,account manager
Social Media Chat Sales,https://www.workingnomads.com/job/go/42225/,2023-03-21T07:54:03-04:00,Latin America ONLY,"english,social media,customer service"
Copy Writer,https://www.workingnomads.com/job/go/44004/,2023-03-21T07:46:07.080961-04:00,USA,"publishing,copywriting,seo,journalism,social media"
Ruby on Rails developer,https://www.workingnomads.com/job/go/22120/,2023-03-21T02:20:05.113811-04:00,Anywhere,"ruby,ruby on rails,javascript,front end"
Sales Development Representative (m/f/d),https://www.workingnomads.com/job/go/43991/,2023-03-20T12:59:44-04:00,EU,"lead generation,business growth,communication,negotiation"
Marketing Lead,https://www.workingnomads.com/job/go/43990/,2023-03-20T12:05:55.564616-04:00,USA,"content marketing,advertising,growth hacking"
Digital Art Director / Visual Designer,https://www.workingnomads.com/job/go/43989/,2023-03-20T11:58:50.753163-04:00,USA,"photoshop,account manager,business development,illustration,advertising"
Advisor Financial Compliance,https://www.workingnomads.com/job/go/43988/,2023-03-20T11:50:46.090419-04:00,USA,"accounting,oracle,project management"
UI/UX Engineer,https://www.workingnomads.com/job/go/43987/,2023-03-20T11:39:32.582503-04:00,USA,"user experience,user interface,javascript,front end,nodejs"
Media Manager,https://www.workingnomads.com/job/go/43986/,2023-03-20T11:05:18.113525-04:00,USA,
Customer Service Representative,https://www.workingnomads.com/job/go/43983/,2023-03-20T10:57:20.572099-04:00,USA,"customer service,tech support,customer experience,ethernet,security"
B2B Sales Account Executive,https://www.workingnomads.com/job/go/43982/,2023-03-20T10:50:32.619411-04:00,USA,"account manager,salesforce,cyber security,security"
Digital Growth Strategist,https://www.workingnomads.com/job/go/43981/,2023-03-20T10:40:42.953061-04:00,USA,"seo,journalism,advertising,ab testing,social media"
Marketing Strategist,https://www.workingnomads.com/job/go/43980/,2023-03-20T10:36:12.659765-04:00,USA,"seo,content marketing,salesforce,advertising,adobe creative suite"
Senior Accountant,https://www.workingnomads.com/job/go/43979/,2023-03-20T10:26:31.670975-04:00,USA,"accounting,oracle"
Digital Customer Capabilities Senior Manager,https://www.workingnomads.com/job/go/43977/,2023-03-20T10:19:10.591640-04:00,USA,project management
Senior Compensation Analyst,https://www.workingnomads.com/job/go/43975/,2023-03-20T10:10:18.237967-04:00,USA,"project management,budgeting"
Product Marketing Director,https://www.workingnomads.com/job/go/43974/,2023-03-20T07:14:17.098389-04:00,USA,"product marketing,supply chain,project management,machine learning,ecommerce"
Copywriter,https://www.workingnomads.com/job/go/43972/,2023-03-20T07:07:49.094589-04:00,USA,"copywriting,customer service,publishing"
Sr. Marketing Operations Manager,https://www.workingnomads.com/job/go/43953/,2023-03-17T15:51:45.370065-04:00,USA,"operations management,project management,salesforce,erp,recruiting"
General Engineering Opening,https://www.workingnomads.com/job/go/43952/,2023-03-17T15:39:39.574928-04:00,USA,"javascript,devops,java,nodejs,nosql"
Sr. FP&A Financial Analyst,https://www.workingnomads.com/job/go/43951/,2023-03-17T15:26:38.697064-04:00,USA,"accounting,budgeting"
Account Executive,https://www.workingnomads.com/job/go/43950/,2023-03-17T15:14:39.527495-04:00,USA,"account manager,salesforce,cloud,software sales"
Tax Senior Manager / Tax Director,https://www.workingnomads.com/job/go/43947/,2023-03-17T14:33:28.586797-04:00,USA,accounting
Senior Product Marketing Manager,https://www.workingnomads.com/job/go/43945/,2023-03-17T14:10:20.627937-04:00,USA,"product marketing,project management"
"SVP, Marketing",https://www.workingnomads.com/job/go/43944/,2023-03-17T14:03:55.808162-04:00,USA,"product marketing,recruiting"
Senior Site Reliability Engineer,https://www.workingnomads.com/job/go/43943/,2023-03-17T13:58:15.260331-04:00,USA,"nosql,devops,python,docker,qa"
HR Generalist,https://www.workingnomads.com/job/go/43942/,2023-03-17T13:31:55.656762-04:00,USA,"project management,customer service,recruiting,hris,payroll"
Editor,https://www.workingnomads.com/job/go/43910/,2023-03-16T12:43:05.140119-04:00,USA,"editing,publishing,seo,journalism,front end"
Demand Generation Manager,https://www.workingnomads.com/job/go/43909/,2023-03-16T12:35:32.332968-04:00,USA,"lead generation,editing,javascript,react,proofreading"
UX/UI Designer,https://www.workingnomads.com/job/go/43907/,2023-03-16T08:52:26.928472-04:00,"Canada,USA","user experience,user interface,front end,oracle,sharepoint"
Senior Product Designer,https://www.workingnomads.com/job/go/43906/,2023-03-16T08:49:23.854989-04:00,USA,"user experience,product design,express,user interface,product management"
Catalog Manager,https://www.workingnomads.com/job/go/43905/,2023-03-16T08:44:56.007880-04:00,USA,"artist,music"
"Marketing Manager, Customer Acquisition",https://www.workingnomads.com/job/go/43904/,2023-03-16T08:42:13.872857-04:00,USA,"content marketing,product management,customer experience,salesforce,product marketing"
"VP, Design",https://www.workingnomads.com/job/go/43900/,2023-03-16T06:02:46.598512-04:00,USA,"adobe creative suite,recruiting"
Revenue Accounting Manager,https://www.workingnomads.com/job/go/43899/,2023-03-16T05:53:53.218497-04:00,USA,"accounting,erp,netsuite,budgeting"
Financial Advisor,https://www.workingnomads.com/job/go/43898/,2023-03-16T05:50:17.487764-04:00,USA,accounting
Senior Copywriter,https://www.workingnomads.com/job/go/43897/,2023-03-16T05:46:07.368827-04:00,USA,"copywriting,journalism,editing,advertising,publishing"
Publicist,https://www.workingnomads.com/job/go/43895/,2023-03-16T05:40:06.844683-04:00,USA,"editing,social media"
