title,link,description,pubdate,location,timestamp
UI/UX Designer,https://dribbble.com/jobs/215003-UI-UX-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Motion Recruitment</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">New York City, NY</span>
      ",2023-06-05 21:20:16.146038
Product Designer,https://dribbble.com/jobs/214970-Product-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Montra Interactive</span>
          <span class=""hide-on-mobile"">
            • Freelance
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Remote</span>
      ",2023-06-05 21:20:16.180706
Senior Product Designer - Fully Remote,https://dribbble.com/jobs/213386-Senior-Product-Designer-Fully-Remote?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Shosho Design</span>
          <span class=""hide-on-mobile"">
            • Freelance
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Amsterdam, Netherlands</span>
      ",2023-06-05 21:20:16.218035
Senior Product Designer,https://dribbble.com/jobs/150455-Senior-Product-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Skydio</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Redwood City, CA</span>
      ",2023-06-05 21:20:16.247595
Product Designer,https://dribbble.com/jobs/172169-Product-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Lifeforce Digital</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Los Angeles</span>
      ",2023-06-05 21:20:16.273142
Freelance Designers,https://dribbble.com/jobs/212033-Freelance-Designers?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">sixwasnine studio</span>
          <span class=""hide-on-mobile"">
            • Freelance
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">San Diego, CA</span>
      ",2023-06-05 21:20:16.299445
Senior Product Designer,https://dribbble.com/jobs/212000-Senior-Product-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Alto</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Nashville, TN</span>
      ",2023-06-05 21:20:16.327848
UX Designer - Remote Contract Role,https://dribbble.com/jobs/204476-UX-Designer-Remote-Contract-Role?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Open Systems Technologies</span>
          <span class=""hide-on-mobile"">
            • Freelance
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Remote</span>
      ",2023-06-05 21:20:16.356436
Head of Digital Design &amp; UX,https://dribbble.com/jobs/201638-Head-of-Digital-Design-UX?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Product Marketing Alliance</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">Remote</span>
      ",2023-06-05 21:20:16.383944
Founding Product Designer,https://dribbble.com/jobs/214838-Founding-Product-Designer?source=index,"
        <span class=""color-deep-blue-sea-light-20 font-label job-board-job-company"">Kinn</span>
          <span class=""hide-on-mobile"">
            • Full-time
          </span>
          <span class=""hide-on-mobile"">
            • Remote Friendly
          </span>
      ",2023-06-05,"
        <svg xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" viewBox=""0 0 24 24"" role=""img"" class=""icon location-icon fill-current""><path d=""m12.001 0c-6.001 0-9.001 4.5-9.001 9s9.001 15 9.001 15 8.999-10.5 8.999-15-3-9-8.999-9zm-.001 12c-1.657 0-3-1.343-3-3s1.343-3 3-3 3 1.343 3 3-1.343 3-3 3z""></path></svg>

        <span class=""location"">New York City, NY</span>
      ",2023-06-05 21:20:16.416839
